Day,From time,To time,Avg In-store Customer Arrivals
Monday,6,7,25
Monday,7,8,50
Monday,8,9,89
Monday,9,10,131
Monday,10,11,181
Monday,11,12,224
Monday,12,13,252
Monday,13,14,266
Monday,14,15,263
Monday,15,16,256
Monday,16,17,245
Monday,17,18,231
Monday,18,19,209
Monday,19,20,177
Monday,20,21,138
Monday,21,22,92
Monday,22,23,53
Monday,23,24,0
Monday,24,1,0
Monday,1,2,0
Monday,2,3,0
Monday,3,4,0
Monday,4,5,0
Monday,5,6,0
Tuesday,6,7,39
Tuesday,7,8,67
Tuesday,8,9,99
Tuesday,9,10,134
Tuesday,10,11,170
Tuesday,11,12,202
Tuesday,12,13,224
Tuesday,13,14,234
Tuesday,14,15,238
Tuesday,15,16,238
Tuesday,16,17,238
Tuesday,17,18,241
Tuesday,18,19,234
Tuesday,19,20,209
Tuesday,20,21,167
Tuesday,21,22,114
Tuesday,22,23,64
Tuesday,23,24,0
Tuesday,24,1,0
Tuesday,1,2,0
Tuesday,2,3,0
Tuesday,3,4,0
Tuesday,4,5,0
Tuesday,5,6,0
Wednesday,6,7,46
Wednesday,7,8,75
Wednesday,8,9,114
Wednesday,9,10,156
Wednesday,10,11,192
Wednesday,11,12,224
Wednesday,12,13,241
Wednesday,13,14,252
Wednesday,14,15,252
Wednesday,15,16,252
Wednesday,16,17,252
Wednesday,17,18,256
Wednesday,18,19,245
Wednesday,19,20,213
Wednesday,20,21,163
Wednesday,21,22,106
Wednesday,22,23,57
Wednesday,23,24,0
Wednesday,24,1,0
Wednesday,1,2,0
Wednesday,2,3,0
Wednesday,3,4,0
Wednesday,4,5,0
Wednesday,5,6,0
Thursday,6,7,50
Thursday,7,8,82
Thursday,8,9,121
Thursday,9,10,160
Thursday,10,11,199
Thursday,11,12,231
Thursday,12,13,256
Thursday,13,14,273
Thursday,14,15,280
Thursday,15,16,287
Thursday,16,17,291
Thursday,17,18,287
Thursday,18,19,273
Thursday,19,20,245
Thursday,20,21,199
Thursday,21,22,142
Thursday,22,23,85
Thursday,23,24,0
Thursday,24,1,0
Thursday,1,2,0
Thursday,2,3,0
Thursday,3,4,0
Thursday,4,5,0
Thursday,5,6,0
Friday,6,7,43
Friday,7,8,75
Friday,8,9,117
Friday,9,10,160
Friday,10,11,206
Friday,11,12,248
Friday,12,13,277
Friday,13,14,291
Friday,14,15,295
Friday,15,16,287
Friday,16,17,280
Friday,17,18,277
Friday,18,19,270
Friday,19,20,248
Friday,20,21,209
Friday,21,22,149
Friday,22,23,89
Friday,23,24,0
Friday,24,1,0
Friday,1,2,0
Friday,2,3,0
Friday,3,4,0
Friday,4,5,0
Friday,5,6,0
Saturday,6,7,39
Saturday,7,8,78
Saturday,8,9,124
Saturday,9,10,185
Saturday,10,11,245
Saturday,11,12,298
Saturday,12,13,334
Saturday,13,14,355
Saturday,14,15,351
Saturday,15,16,341
Saturday,16,17,323
Saturday,17,18,305
Saturday,18,19,284
Saturday,19,20,252
Saturday,20,21,202
Saturday,21,22,145
Saturday,22,23,92
Saturday,23,24,0
Saturday,24,1,0
Saturday,1,2,0
Saturday,2,3,0
Saturday,3,4,0
Saturday,4,5,0
Saturday,5,6,0
Sunday,6,7,32
Sunday,7,8,60
Sunday,8,9,92
Sunday,9,10,138
Sunday,10,11,192
Sunday,11,12,248
Sunday,12,13,302
Sunday,13,14,334
Sunday,14,15,337
Sunday,15,16,319
Sunday,16,17,291
Sunday,17,18,286
Sunday,18,19,238
Sunday,19,20,206
Sunday,20,21,163
Sunday,21,22,114
Sunday,22,23,64
Sunday,23,24,0
Sunday,24,1,0
Sunday,1,2,0
Sunday,2,3,0
Sunday,3,4,0
Sunday,4,5,0
Sunday,5,6,0
