Day,From time,To time,Avg. in-store customer arrivals,Avg. online order arrivals
Monday,0,1,0,0.710477959
Monday,1,2,0,0.311094031
Monday,2,3,0,0.229130654
Monday,3,4,0,0.127919533
Monday,4,5,0,0.244525922
Monday,5,6,0,0.32474236
Monday,6,7,25,0.819305838
Monday,7,8,50,2.960948304
Monday,8,9,89,4.602904198
Monday,9,10,131,7.023710617
Monday,10,11,181,7.722479421
Monday,11,12,224,8.026363799
Monday,12,13,252,7.749166554
Monday,13,14,266,8.441251058
Monday,14,15,263,8.50953443
Monday,15,16,256,8.183283108
Monday,16,17,245,8.438798211
Monday,17,18,231,7.899381852
Monday,18,19,209,6.79149242
Monday,19,20,177,4.828783101
Monday,20,21,138,3.46147407
Monday,21,22,92,2.801465647
Monday,22,23,53,2.164436799
Monday,23,24,0,1.105578212
Tuesday,0,1,0,0.621829346
Tuesday,1,2,0,0.385213866
Tuesday,2,3,0,0.375577708
Tuesday,3,4,0,0.198966569
Tuesday,4,5,0,0.225701652
Tuesday,5,6,0,0.312065324
Tuesday,6,7,39,0.904572998
Tuesday,7,8,67,2.842144988
Tuesday,8,9,99,5.16726815
Tuesday,9,10,134,6.567475035
Tuesday,10,11,170,7.525546957
Tuesday,11,12,202,8.04012983
Tuesday,12,13,224,7.783751226
Tuesday,13,14,234,8.208298525
Tuesday,14,15,238,8.031260809
Tuesday,15,16,238,8.002594194
Tuesday,16,17,238,7.748583873
Tuesday,17,18,241,7.588228091
Tuesday,18,19,234,5.915272657
Tuesday,19,20,209,4.467805971
Tuesday,20,21,167,2.951317674
Tuesday,21,22,114,2.538142123
Tuesday,22,23,64,2.232093424
Tuesday,23,24,0,1.366620588
Wednesday,0,1,0,0.598931194
Wednesday,1,2,0,0.545853604
Wednesday,2,3,0,0.336993157
Wednesday,3,4,0,0.201908437
Wednesday,4,5,0,0.16625049
Wednesday,5,6,0,0.346082789
Wednesday,6,7,46,1.181823696
Wednesday,7,8,75,2.714477454
Wednesday,8,9,114,5.289998574
Wednesday,9,10,156,7.233680898
Wednesday,10,11,192,7.189980562
Wednesday,11,12,224,7.6121091
Wednesday,12,13,241,7.535614466
Wednesday,13,14,252,7.920303107
Wednesday,14,15,252,7.982118461
Wednesday,15,16,252,8.150682675
Wednesday,16,17,252,7.726514293
Wednesday,17,18,256,7.313147268
Wednesday,18,19,245,5.848156389
Wednesday,19,20,213,4.66692695
Wednesday,20,21,163,3.567704399
Wednesday,21,22,106,2.630517545
Wednesday,22,23,57,2.800656193
Wednesday,23,24,0,1.292813893
Thursday,0,1,0,0.970159023
Thursday,1,2,0,0.594200916
Thursday,2,3,0,0.286232499
Thursday,3,4,0,0.236438378
Thursday,4,5,0,0.267612004
Thursday,5,6,0,0.356255755
Thursday,6,7,50,1.278580414
Thursday,7,8,82,3.55480566
Thursday,8,9,121,5.700806421
Thursday,9,10,160,7.8617328
Thursday,10,11,199,8.921182124
Thursday,11,12,231,9.539555933
Thursday,12,13,256,9.31915999
Thursday,13,14,273,9.759294859
Thursday,14,15,280,9.7010041
Thursday,15,16,287,8.631831864
Thursday,16,17,291,8.657695931
Thursday,17,18,287,7.587903887
Thursday,18,19,273,6.653629994
Thursday,19,20,245,4.963971791
Thursday,20,21,199,3.183707411
Thursday,21,22,142,2.585460331
Thursday,22,23,85,2.325667355
Thursday,23,24,0,1.509630837
Friday,0,1,0,1.125939724
Friday,1,2,0,0.650730932
Friday,2,3,0,0.341667187
Friday,3,4,0,0.312976623
Friday,4,5,0,0.308687821
Friday,5,6,0,0.273352652
Friday,6,7,43,1.095795827
Friday,7,8,75,3.13551667
Friday,8,9,117,6.465876327
Friday,9,10,160,8.447548043
Friday,10,11,206,10.17946784
Friday,11,12,248,9.60951983
Friday,12,13,277,10.7741528
Friday,13,14,291,10.69901076
Friday,14,15,295,11.67403697
Friday,15,16,287,11.38022687
Friday,16,17,280,10.96266449
Friday,17,18,277,10.77744535
Friday,18,19,270,7.890649616
Friday,19,20,248,6.21059865
Friday,20,21,209,3.668537409
Friday,21,22,149,3.68449618
Friday,22,23,89,2.722820342
Friday,23,24,0,1.776499858
Saturday,0,1,0,1.169405835
Saturday,1,2,0,0.804383779
Saturday,2,3,0,0.616562012
Saturday,3,4,0,0.40209549
Saturday,4,5,0,0.253494843
Saturday,5,6,0,0.347091779
Saturday,6,7,39,0.97444143
Saturday,7,8,78,4.587884682
Saturday,8,9,124,10.22535927
Saturday,9,10,185,13.60577163
Saturday,10,11,245,17.13750203
Saturday,11,12,298,18.81032807
Saturday,12,13,334,17.41195998
Saturday,13,14,355,18.61519466
Saturday,14,15,351,19.72920353
Saturday,15,16,341,18.62342669
Saturday,16,17,323,16.49614387
Saturday,17,18,305,13.67998227
Saturday,18,19,284,10.34922966
Saturday,19,20,252,7.682448957
Saturday,20,21,202,5.999038085
Saturday,21,22,145,5.308725454
Saturday,22,23,92,3.759149542
Saturday,23,24,0,2.584227497
Sunday,0,1,0,0.846838323
Sunday,1,2,0,0.302381286
Sunday,2,3,0,0.260282002
Sunday,3,4,0,0.138708793
Sunday,4,5,0,0.213982011
Sunday,5,6,0,0.412836318
Sunday,6,7,32,1.408666255
Sunday,7,8,60,3.33774656
Sunday,8,9,92,6.790064764
Sunday,9,10,138,9.910914495
Sunday,10,11,192,12.16409351
Sunday,11,12,248,11.08091111
Sunday,12,13,302,10.13689061
Sunday,13,14,334,12.03940256
Sunday,14,15,337,11.24080693
Sunday,15,16,319,11.55596349
Sunday,16,17,291,10.812709
Sunday,17,18,286,9.466478813
Sunday,18,19,238,7.151539992
Sunday,19,20,206,4.953112011
Sunday,20,21,163,3.513354102
Sunday,21,22,114,2.992579558
Sunday,22,23,64,1.901212141
Sunday,23,24,0,1.248780002
